	id	title	total.gross	distributer	genre	release.date	runtime	budget	MPAA.rating
627	expendables.htm	The Expendables 	103068524	Lionsgate	Action	13/8/10	1 hrs. 43 min.	$80 million	R
628	expired.htm	Expired 	29796	MCR Releasing	Comedy	20/6/08	1 hrs. 46 min.	N/A	Unrated
629	exportingraymond.htm	Exporting Raymond 	87727	Samuel Goldwyn	Documentary	29/4/11	1 hrs. 26 min.	N/A	PG
630	express.htm	The Express 	9793406	Universal	Sports Drama	10/10/08	2 hrs. 9 min.	$40 million	PG
631	exterminatingangels.htm	Exterminating Angels 	23308	IFC	Foreign	7/3/07	1 hrs. 40 min.	N/A	Unrated
632	extract.htm	Extract 	10823158	Miramax	Comedy	4/9/09	1 hrs. 30 min.	$8 million	R
633	extraman.htm	The Extra Man 	453377	Magnolia	Comedy	30/7/10	1 hrs. 48 min.	N/A	R
634	eye07.htm	The Eye 	31418697	Lionsgate	Horror	1/2/08	1 hrs. 37 min.	N/A	PG-13
635	eyeofthedolphin.htm	Eye of the Dolphin 	72210	"Monterey Media, Inc."	Drama	24/8/07	1 hrs. 36 min.	N/A	PG-13
636	facingthegiants.htm	Facing the Giants 	10178331	IDP	Sports Drama	29/9/06	1 hrs. 51 min.	"$100,000 "	PG
637	factorygirl.htm	Factory Girl 	1675241	MGM (Weinstein)	Drama	29/12/06	1 hrs. 27 min.	N/A	R
638	factotum.htm	Factotum 	808221	IFC	Drama	18/8/06	1 hrs. 34 min.	N/A	R
639	fados.htm	Fados 	129150	Zeitgeist	Foreign	6/3/09	1 hrs. 25 min.	N/A	Unrated
640	failuretolaunch.htm	Failure to Launch 	88715192	Paramount	Romantic Comedy	10/3/06	1 hrs. 37 min.	$50 million	PG-13
641	fairgame10.htm	Fair Game 	9540691	Summit Entertainment	Action Thriller	5/11/10	1 hrs. 48 min.	$22 million	PG-13
642	fall08.htm	The Fall 	2266905	Roadside Attractions	Fantasy	9/5/08	1 hrs. 57 min.	N/A	R
643	fallenidol.htm	The Fallen Idol 	141502	Rialto	Drama / Thriller	10/2/06	1 hrs. 35 min.	N/A	Unrated
644	fallofhyperion.htm	Fall of Hyperion 	1093	Regent Releasing	Action / Adventure	10/10/08	1 hrs. 28 min.	N/A	PG
645	fame09.htm	Fame 	22455510	MGM	Music Drama	25/9/09	1 hrs. 47 min.	$18 million	PG
646	familiarstrangers.htm	Familiar Strangers 	34068	Cavalier Films	Comedy / Drama	14/11/08	1 hrs. 27 min.	N/A	PG-13
647	familylaw.htm	Family Law 	38605	IFC	Foreign	6/12/06	1 hrs. 42 min.	N/A	Unrated
648	familythatpreys.htm	Tyler Perry's The Family That Preys 	37105289	Lionsgate	Comedy	12/9/08	1 hrs. 51 min.	N/A	PG-13
649	fanaa.htm	Fanaa 	2105352	Yash Raj	Foreign	26/5/06	2 hrs. 48 min.	N/A	Unrated
